Date;Active Energy (kJ);Apple Exercise Time (min);z;Apple Stand Time (min);Blood Oxygen Saturation (%);Environmental Audio Exposure (dBASPL);Headphone Audio Exposure (dBASPL);Heart Rate [Min] (bpm);Heart Rate [Max] (bpm);Heart Rate [Avg] (bpm);Heart Rate Variability (ms);Physical Effort (MET);Respiratory Rate (count/min);Resting Energy (kJ);Resting Heart Rate (bpm);Sleep Analysis [Asleep] (hr);Sleep Analysis [Core] (hr);Sleep Analysis [Deep] (hr);Sleep Analysis [REM] (hr);Sleep Analysis [Awake] (hr);Step Count (steps);Walking + Running Distance (km);Walking Heart Rate Average (bpm);Walking Speed (km/hr);Walking Step Length (cm)
05.02.2025 00:00;1698;13;9;48;97,83;50,38;46,33;47;124;69,52;48,7;3,44;15,89;9160;63;0;4,008333333;0,85;1,141666667;0,008333333;3630;2,74;85;4,14;66
06.02.2025 00:00;4174;63;10;107;97,6;55,55;47,76;44;162;83,67;51,3;3,93;14,87;9516;65;0;2,933333333;0,758333333;0,9;0,166666667;5697;4,4;95,5;4,3;66,46
07.02.2025 00:00;3767;64;8;117;97,7;53,41;52,57;46;176;86,93;65,34;3,65;15,78;8928;54;0;3,933333333;0,775;1,508333333;0,008333333;5056;3,87;120;4,07;62,75
08.02.2025 00:00;2789;9;16;110;98,17;68,89;;46;129;75,61;60,68;3,36;13,95;9855;76;0;6,791666667;0,7;2,4;0,308333333;8174;6,29;106,5;4,08;65,79
09.02.2025 00:00;1382;5;7;25;97,75;52,34;;55;90;67,98;55,19;3,16;16,54;9092;59;2,158333333;3,466666667;0,6;0,6;1,283333333;1539;1,18;;3,64;63,5
10.02.2025 00:00;1194;12;5;28;97,92;48,91;44,47;47;132;65,71;57,31;4,04;16,75;8826;61;0;3,25;0,9;0,916666667;0,091666667;4482;3,25;;4,29;68,39
11.02.2025 00:00;4786;87;13;144;98,04;55,57;47,72;50;173;90,11;56,7;4,02;17,92;9481;64;1,3;4,133333333;0,716666667;1,725;0,083333333;7810;6,3;98;4,57;69,88
12.02.2025 00:00;4751;86;15;158;98,36;57,75;42,47;50;173;88,83;46,8;3,83;15,64;9431;63;0;5,091666667;0,516666667;1,6;1,408333333;7703;5,97;;4,23;67,79
13.02.2025 00:00;2153;23;12;84;96,17;59,34;43,97;59;132;79,41;40,13;4;17,46;9214;71;;;;;;5636;4,55;101,5;4,58;70,11
14.02.2025 00:00;5446;93;16;150;97,95;57,49;49,02;52;164;89,79;55,76;3,7;16,03;9556;59;0;4,508333333;1,025;1,666666667;0,133333333;6555;5,12;;4,31;67,27
15.02.2025 00:00;1630;11;10;65;97,96;54,29;47,33;48;134;64,98;58,33;3,47;15,4;9210;55;2,816666667;4,133333333;0,583333333;0,925;0,291666667;3732;2,93;;4,4;66,57
16.02.2025 00:00;4075;73;10;118;97,27;57,39;53,41;59;164;96,68;39,43;3,8;19,35;8975;67;;;;;;5079;3,86;113;4,97;73,57
17.02.2025 00:00;4064;63;12;110;98;54,19;47,44;47;164;85,08;41,67;3,95;17,89;9454;68;0;3,241666667;0,475;0,65;0,041666667;5799;4,53;129;4,6;69,17
18.02.2025 00:00;1747;16;10;47;97,31;49,95;45,45;47;144;72,27;44,03;3,89;16,27;9224;68;0;3,4;0,641666667;1,016666667;0,075;3231;2,5;;4,57;69,6
19.02.2025 00:00;2243;26;11;68;97,7;52,75;47,02;50;127;74,17;48;3,84;15,96;9486;68;1,741666667;4,366666667;0,666666667;1,55;0,133333333;5061;3,96;111;4,35;66,64
20.02.2025 00:00;1252;13;6;41;98,12;53,15;47,01;49;147;76,44;58,39;3,98;15,35;5106;66;1,425;2,641666667;1,166666667;1,625;0,233333333;2890;2,34;117;4,77;71,72
